38,-435,97
214,-107,323
692,1038,-156
763,-774,-19
782,1541,231
1234,1503,-298
1668,-1371,72
1676,-113,-62
1255,274,-176
1119,-609,29
1301,-593,119
1447,-190,-182
642,591,76
1140,-409,35
664,1461,-248
620,232,311
455,-82,218
283,1159,-172
251,501,-117
186,295,154
-417,-265,5901
-208,1451,-368
-1040,649,210
-932,-163,2
-935,-1262,381
-1311,298,71
-1657,-915,38
-1764,-1373,575
-1636,-223,-34
-1400,225,-190
-1695,1026,46
-1340,226,227
-1174,645,-233
-780,-981,-182
-667,-18,90
-393,99,-639
-450,690,-219
-39,93,159
489,643,-117
948,-403,-325
354,286,385
1397,332,-282
1530,-1000,-105
1512,140,-75
1471,-256,17
1372,-1523,-74
1936,767,-16
2076,-289,11
1975,-682,-17
1734,-302,19
1313,111,-476
675,1206,88
839,-133,-281
815,378,-433
-9,1099,276
246,427,-257
2,855,36
-169,-381,-155
-973,617,-136
-1038,-46,97
-1169,860,-210
-1557,-803,75
-818,-624,76
-1583,1015,233
-1389,-157,-67
-1576,-287,209
-991,62,344
-996,-552,317
-1087,1066,117
-1787,-999,90
-927,-120,570
-526,278,446
-199,-84,-153
-439,-642,6185
547,-695,120
-143,340,14
301,-824,31
1012,517,98
957,-1219,187
1727,-444,44
1334,29,68
1202,-1002,278
1353,522,64
1171,-15,109
1105,-829,198
1623,-1215,327
1514,-1252,245
1594,41,75
812,-925,42
1347,-1092,-245
532,-185,58
850,1822,-207
-3,222,-205
-348,610,130
-303,170,-20
-308,626,94
-792,-1074,-125
-1214,-344,240
-1608,209,29
-1760,-14,238
-1283,-154,135
-1191,-533,33
-1548,-207,-96
-1789,-619,6
-1130,-1937,166
-1661,-956,140
-1340,381,-239
-756,1246,205
-1407,1451,-43
-384,77,163
-428,715,-139
33,726,128
231,-554,-159
560,-1358,26
940,25,-60
715,-1410,-57
1552,-256,-113
1495,486,-31
1645,-1136,-348
1816,26,175
1735,992,192
1741,289,-89
1457,418,-276
911,725,-129
1165,1386,190
807,121,125
413,984,-60
695,-51,179
207,-437,-208
-182,252,-123
-440,-485,95
-297,-459,-19
-510,-486,-118
-443,-1836,-502
-1042,84,134
-893,-1011,65
-919,-86,-349
-1089,1160,120
-2197,-417,-3
-1130,-434,56
-1364,1091,189
-1265,437,-148
-1166,781,143
-1011,-284,137
-847,598,152
-839,-549,327
-1070,-541,132
-286,477,-112
-241,-479,360
578,614,-221
413,1913,-93
757,-1349,-193
687,-602,-21
973,896,216
1274,-116,260
946,929,93
1557,-808,-122
1467,265,-111
1132,-120,-121
715,112,191
1493,265,-181
1117,-976,173
879,-859,-7
769,1119,34
1163,235,302
363,85,-95
153,-35,332
-573,285,-282
116,-925,-165
-343,-799,-316
-520,1044,-149
-1024,121,117
-931,680,148
-1228,-485,61
-1250,1101,53
-1534,276,-235
-1941,385,-265
-1158,439,61
-1972,-638,270
-1349,-1493,-73
-1187,-860,-254
-1255,1304,-307
-548,1041,-136
-560,-278,316
-385,-241,-42
156,829,-208
111,-135,-122
916,-1039,-97
837,1012,53
800,382,-132
543,-2013,-178
885,-251,-38
1718,115,94
1451,385,143
1414,122,110
1981,-509,-91
1049,-93,-339
1164,236,-160
1064,-214,57
1214,-298,-267
641,1002,51
434,-757,-118
-104,-280,-116
346,-1625,224
115,433,44
-521,663,274
-569,439,-188
-1228,734,226
-1179,353,182
-793,274,-599
-1299,379,-18
